City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
421,Port Lincoln,AU,-34.7333,135.8667,51.33,72,97,8.01,overcast clouds
422,Tilichiki,RU,60.4667,166.1,42.35,72,8,4.83,clear sky
423,Sundargarh,IN,22.1167,84.0333,76.12,93,98,9.71,overcast clouds
424,Birjand,IR,32.8663,59.2211,78.96,16,0,13.31,clear sky
425,Hammerfest,NO,70.6634,23.6821,46.85,100,90,8.05,drizzle
426,San Pedro,PH,14.35,121.0167,83.16,85,100,14.38,overcast clouds
427,Piacabucu,BR,-10.4056,-36.4344,76.91,83,34,15.26,scattered clouds
428,Nizwa,OM,22.9333,57.5333,98.67,30,70,1.59,broken clouds
429,Fairbanks,US,64.8378,-147.7164,61.09,87,100,1.5,overcast clouds
430,Longyearbyen,SJ,78.2186,15.6401,46.24,71,75,10.36,broken clouds
431,Kavieng,PG,-2.5744,150.7967,81.25,78,7,7.05,light rain
432,Henties Bay,NA,-22.116,14.2845,78.78,30,0,4.21,clear sky
433,San Angelo,US,31.4638,-100.437,86.95,66,1,3.0,clear sky
434,Saint Anthony,US,45.0205,-93.218,74.25,74,1,1.99,haze
435,Ocampo,MX,21.65,-101.5,61.25,70,53,5.21,broken clouds
436,Diapaga,BF,12.0708,1.7889,83.77,63,81,11.16,light rain
437,Ofunato,JP,39.0717,141.7167,74.28,93,100,3.24,overcast clouds
438,Hobo,CO,2.5833,-75.45,81.63,56,63,5.1,broken clouds
439,Manokwari,ID,-0.8667,134.0833,78.98,83,41,3.98,scattered clouds
440,Laibin,CN,23.7,109.2667,81.54,87,100,6.96,light rain
441,Giyani,ZA,-23.3025,30.7187,71.82,31,0,5.23,clear sky
442,Prijedor,BA,44.9814,16.7131,92.88,21,20,9.22,few clouds
443,Iqaluit,CA,63.7506,-68.5145,56.7,54,100,3.0,overcast clouds
444,Kouroussa,GN,10.65,-9.8833,81.54,70,87,7.94,overcast clouds
445,Mandapam,IN,9.2833,79.1167,83.73,78,4,24.38,clear sky
