City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Lazaro Cardenas,MX,82.9,overcast clouds,17.9583,-102.2,quinta antigua
483,Carmen,MX,82.99,few clouds,18.6333,-91.8333,Hotel Lossandes
484,Amahai,ID,80.01,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
510,Buluang,PH,83.39,overcast clouds,13.3068,123.3425,Enon Beach Resort
515,Lyndon,US,84.6,overcast clouds,38.2567,-85.6016,SpringHill Suites by Marriott Louisville Hurstbourne/North
516,Hamilton,US,83.03,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
523,Port Blair,IN,82.56,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
543,Sibolga,ID,80.56,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
554,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
555,Le Vauclin,MQ,81.84,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
566,Lewistown,US,81.61,clear sky,40.5992,-77.5714,Quality Inn & Suites
573,Gizo,SB,83.61,clear sky,-8.103,156.8419,Imagination Island
601,Wenling,CN,81.91,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
607,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
616,Sabha,LY,80.58,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
630,Macomb,US,80.67,clear sky,40.4592,-90.6718,Hampton Inn Macomb
636,Tabuk,PH,81.55,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
644,Suclayin,PH,83.26,overcast clouds,15.7568,121.5503,Costa Pacifica
652,Kashi,CN,83.41,clear sky,39.4547,75.9797,帕米尔青年旅舍
656,Banda Aceh,ID,80.98,overcast clouds,5.5577,95.3222,Sulthan Hotel International
659,Jiwani,PK,82.94,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
665,Devils Lake,US,80.71,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
671,Morar,IN,83.77,light rain,26.2261,78.2261,Hotel Adityaz
684,Elizabeth City,US,84.02,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
689,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
702,Campoverde,PE,82.09,few clouds,-8.4753,-74.8058,Hospedaje Coral's
